[16:54:53] PUMP    ezo_i2c loaded -- using real EZO-PMP hardware
[16:54:53] SENSOR  ezo_i2c loaded -- using real EZO-pH hardware
[16:54:53] CTRL    reader thread started
 * Serving Flask app "app" (lazy loading)
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://0.0.0.0:8080/ (Press CTRL+C to quit)
10.0.0.99 - - [19/May/2026 16:57:31] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:57:32] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:57:33] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:57:34] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:57:35] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:57:36] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:57:37] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:57:38] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:57:39] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:57:40] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:57:41] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:57:42] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:57:43] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:57:44] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:57:45] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:57:46] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:57:47] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:57:48] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:57:49] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:57:50] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:57:51] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:57:52] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:57:53] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:57:54] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:57:55] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:57:56] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:57:57] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:57:58] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:57:59] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:58:00] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:58:01] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:58:02] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:58:03] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:58:04] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:58:05] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:58:06] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:58:07] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:58:08] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:58:09] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:58:10] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:58:11] "GET /api/status HTTP/1.1" 200 -
